bus_id ,stage_index ,value
     4 ,         25 , 6294.0
     4 ,         26 , 6475.2
     4 ,         27 , 6670.8
     4 ,         28 , 6633.6
     4 ,         29 , 6750.0
     4 ,         30 , 6567.6
     4 ,         31 , 6594.0
     4 ,         32 , 6823.2
     4 ,         33 , 6800.4
     4 ,         34 , 6744.0
     4 ,         35 , 6590.4
     4 ,         36 , 6501.6
     4 ,         37 , 6294.0
     4 ,         38 , 6475.2
     4 ,         39 , 6670.8
     4 ,         40 , 6633.6
     4 ,         41 , 6750.0
     4 ,         42 , 6567.6
     4 ,         43 , 6594.0
     4 ,         44 , 6823.2
     4 ,         45 , 6800.4
     4 ,         46 , 6744.0
     4 ,         47 , 6590.4
     4 ,         48 , 6501.6
     4 ,         49 , 6294.0
     4 ,         50 , 6475.2
     4 ,         51 , 6670.8
     4 ,         52 , 6633.6
     4 ,         53 , 6750.0
     4 ,         54 , 6567.6
     4 ,         55 , 6594.0
     4 ,         56 , 6823.2
     4 ,         57 , 6800.4
     4 ,         58 , 6744.0
     4 ,         59 , 6590.4
     4 ,         60 , 6501.6
     4 ,         61 , 6294.0
     4 ,         62 , 6475.2
     4 ,         63 , 6670.8
     4 ,         64 , 6633.6
     4 ,         65 , 6750.0
     4 ,         66 , 6567.6
     4 ,         67 , 6594.0
     4 ,         68 , 6823.2
     4 ,         69 , 6800.4
     4 ,         70 , 6744.0
     4 ,         71 , 6590.4
     4 ,         72 , 6501.6
     4 ,         73 , 6294.0
     4 ,         74 , 6475.2
     4 ,         75 , 6670.8
     4 ,         76 , 6633.6
     4 ,         77 , 6750.0
     4 ,         78 , 6567.6
     4 ,         79 , 6594.0
     4 ,         80 , 6823.2
     4 ,         81 , 6800.4
     4 ,         82 , 6744.0
     4 ,         83 , 6590.4
     4 ,         84 , 6501.6
     4 ,         85 , 6294.0
     4 ,         86 , 6475.2
     4 ,         87 , 6670.8
     4 ,         88 , 6633.6
     4 ,         89 , 6750.0
     4 ,         90 , 6567.6
     4 ,         91 , 6594.0
     4 ,         92 , 6823.2
     4 ,         93 , 6800.4
     4 ,         94 , 6744.0
     4 ,         95 , 6590.4
     4 ,         96 , 6501.6
     4 ,         97 , 6294.0
     4 ,         98 , 6475.2
     4 ,         99 , 6670.8
     4 ,        100 , 6633.6
     4 ,        101 , 6750.0
     4 ,        102 , 6567.6
     4 ,        103 , 6594.0
     4 ,        104 , 6823.2
     4 ,        105 , 6800.4
     4 ,        106 , 6744.0
     4 ,        107 , 6590.4
     4 ,        108 , 6501.6
     4 ,        109 , 6294.0
     4 ,        110 , 6475.2
     4 ,        111 , 6670.8
     4 ,        112 , 6633.6
     4 ,        113 , 6750.0
     4 ,        114 , 6567.6
     4 ,        115 , 6594.0
     4 ,        116 , 6823.2
     4 ,        117 , 6800.4
     4 ,        118 , 6744.0
     4 ,        119 , 6590.4
     4 ,        120 , 6501.6
     5 ,          1 ,    0.0
     5 ,          2 ,    0.0
     5 ,          3 ,    0.0
     5 ,          4 ,    0.0
     5 ,          5 ,    0.0
     5 ,          6 ,    0.0
     5 ,          7 ,    0.0
     5 ,          8 ,    0.0
     5 ,          9 ,    0.0
     5 ,         10 ,    0.0
     5 ,         11 ,    0.0
     5 ,         12 ,    0.0
     5 ,         13 ,    0.0
     5 ,         14 ,    0.0
     5 ,         15 ,    0.0
     5 ,         16 ,    0.0
     5 ,         17 ,    0.0
     5 ,         18 ,    0.0
     5 ,         19 ,    0.0
     5 ,         20 ,    0.0
     5 ,         21 ,    0.0
     5 ,         22 ,    0.0
     5 ,         23 ,    0.0
     5 ,         24 ,    0.0
     5 ,         25 ,    0.0
     5 ,         26 ,    0.0
     5 ,         27 ,    0.0
     5 ,         28 ,    0.0
     5 ,         29 ,    0.0
     5 ,         30 ,    0.0
     5 ,         31 ,    0.0
     5 ,         32 ,    0.0
     5 ,         33 ,    0.0
     5 ,         34 ,    0.0
     5 ,         35 ,    0.0
     5 ,         36 ,    0.0
     5 ,         37 ,    0.0
     5 ,         38 ,    0.0
     5 ,         39 ,    0.0
     5 ,         40 ,    0.0
     5 ,         41 ,    0.0
     5 ,         42 ,    0.0
     5 ,         43 ,    0.0
     5 ,         44 ,    0.0
     5 ,         45 ,    0.0
     5 ,         46 ,    0.0
     5 ,         47 ,    0.0
     5 ,         48 ,    0.0
     5 ,         49 ,    0.0
     5 ,         50 ,    0.0
     5 ,         51 ,    0.0
     5 ,         52 ,    0.0
     5 ,         53 ,    0.0
     5 ,         54 ,    0.0
     5 ,         55 ,    0.0
     5 ,         56 ,    0.0
     5 ,         57 ,    0.0
     5 ,         58 ,    0.0
     5 ,         59 ,    0.0
     5 ,         60 ,    0.0
     5 ,         61 ,    0.0
     5 ,         62 ,    0.0
     5 ,         63 ,    0.0
     5 ,         64 ,    0.0
     5 ,         65 ,    0.0
     5 ,         66 ,    0.0
     5 ,         67 ,    0.0
     5 ,         68 ,    0.0
     5 ,         69 ,    0.0
     5 ,         70 ,    0.0
     5 ,         71 ,    0.0
     5 ,         72 ,    0.0
     5 ,         73 ,    0.0
     5 ,         74 ,    0.0
     5 ,         75 ,    0.0
     5 ,         76 ,    0.0
     5 ,         77 ,    0.0
     5 ,         78 ,    0.0
     5 ,         79 ,    0.0
     5 ,         80 ,    0.0
     5 ,         81 ,    0.0
